date,体重_kg,筋肉量_kg,体脂肪量_kg,体脂肪率,カロリー収支_kcal,摂取カロリー_kcal,消費カロリー_kcal,基礎代謝_kcal,活動カロリー_kcal,歩数,睡眠時間_hours,体表温度_celsius,体表温変化_celsius,体表温偏差_celsius,体表温トレンド_celsius,タンパク質_g,糖質_g,食物繊維_g,脂質_g,oura_total_calories,oura_estimated_basal,total_calories_updated,calculation_method
2025-07-07,63.1,52.0,11.1,17.6,562.0,2447.0,1885.0,1493.0,392.0,10608.0,0.0,,,,,142.6,36.6,34.1,194.5,,,1885.0,RENPHO+Oura
2025-07-08,63.2,52.0,11.2,17.7,302.0,2179.0,1877.0,1493.0,384.0,10298.0,0.0,,,,,147.5,23.3,42.5,149.4,,,1877.0,RENPHO+Oura
2025-07-09,62.7,51.8,10.8,17.3,-202.0,1511.0,1713.0,1490.0,223.0,8501.0,0.0,,,,,82.7,29.5,19.1,83.3,,,1713.0,RENPHO+Oura
2025-07-10,63.1,52.0,11.1,17.6,206.0,1883.0,1677.0,1493.0,184.0,6310.0,0.0,,,,,109.7,49.7,29.3,133.9,,,1677.0,RENPHO+Oura
2025-07-11,63.1,52.0,11.1,17.6,149.0,1696.0,1547.0,1493.0,54.0,542.0,0.0,,,,,116.0,14.0,11.1,114.2,,,1547.0,RENPHO+Oura
2025-07-12,62.9,51.9,11.0,17.5,-225.0,1892.0,2117.0,1490.0,627.0,8533.0,4.87,,,0.04,,140.6,20.6,14.8,128.9,,,2117.0,RENPHO+Oura
2025-07-13,63.4,52.1,11.3,17.8,27.0,1992.0,1965.0,1495.0,470.0,6338.0,7.87,,,0.0,,159.8,46.1,23.8,117.3,,,1965.0,RENPHO+Oura
2025-07-14,64.0,52.3,11.6,18.2,276.0,2618.0,2342.0,1500.0,842.0,13087.0,7.51,,,-0.03,0.01,261.2,59.5,15.8,141.0,,,2342.0,RENPHO+Oura
2025-07-15,63.2,52.0,11.2,17.7,76.0,1692.0,1616.0,1493.0,123.0,2630.0,6.12,,,0.14,0.06,132.3,32.6,14.7,104.7,,,1616.0,RENPHO+Oura
2025-07-16,63.3,52.1,11.2,17.7,23.0,1925.0,1902.0,1495.0,407.0,3263.0,6.82,,,-0.02,0.0,137.8,19.9,14.3,133.0,,,1902.0,RENPHO+Oura
2025-07-17,63.1,52.0,11.1,17.6,2716.0,4932.0,2216.0,1493.0,723.0,14679.0,5.19,,,-0.32,-0.09,188.6,499.8,10.9,198.0,,,2216.0,RENPHO+Oura
2025-07-18,,,,,429.0,2451.0,2022.0,1403.0,620.0,12083.0,3.92,,,0.07,0.07,88.8,292.9,21.7,100.4,,,2022.0,RENPHO+Oura
2025-07-19,64.8,52.7,12.1,18.7,-9.0,2214.0,2223.0,1507.0,716.0,11322.0,8.42,,,0.03,-0.06,89.5,162.4,23.5,85.9,,,2223.0,RENPHO+Oura
2025-07-20,64.9,52.7,12.2,18.8,-180.0,1578.0,1758.0,1508.0,250.0,5463.0,6.18,,,0.13,-0.06,115.7,9.0,8.3,113.4,,,1758.0,RENPHO+Oura
2025-07-21,63.7,52.2,11.5,18.0,-30.0,1676.0,1706.0,1498.0,208.0,4137.0,7.22,,,0.03,0.04,124.8,15.8,23.3,103.5,,,1706.0,RENPHO+Oura
2025-07-22,63.8,52.3,11.5,18.1,-261.0,1523.0,1784.0,1498.0,286.0,7573.0,5.38,,,0.04,0.05,59.3,126.8,13.7,49.6,,,1784.0,RENPHO+Oura
2025-07-23,62.6,51.8,10.8,17.2,-246.0,1463.0,1709.0,1489.0,220.0,6347.0,4.85,,,0.03,0.07,96.9,10.4,16.7,104.5,,,1709.0,RENPHO+Oura
2025-07-24,62.7,51.8,10.8,17.3,-239.0,1547.0,1786.0,1490.0,296.0,6346.0,6.92,,,-0.21,-0.05,78.3,15.6,14.2,115.2,,,1786.0,RENPHO+Oura
2025-07-25,62.4,51.7,10.7,17.1,364.0,2309.0,1945.0,1487.0,458.0,6862.0,5.19,,,0.1,0.05,140.6,11.2,7.6,188.6,,,1945.0,RENPHO+Oura
2025-07-26,62.5,51.8,10.8,17.2,271.0,2044.0,1773.0,1487.0,286.0,5623.0,4.74,,,-0.12,-0.07,117.6,29.4,24.5,135.2,,,1773.0,RENPHO+Oura
2025-07-27,63.2,52.0,11.2,17.7,-731.0,1778.0,2509.0,1493.0,1016.0,20172.0,6.68,,,-0.28,-0.17,105.9,19.6,8.2,146.7,,,2509.0,RENPHO+Oura
2025-07-28,63.0,51.9,11.0,17.5,-180.0,1752.0,1932.0,1492.0,440.0,11557.0,5.84,,,0.04,0.02,95.7,65.4,9.3,117.5,,,1932.0,RENPHO+Oura
2025-07-29,62.2,51.6,10.6,17.0,24.0,1608.0,1584.0,1485.0,99.0,2050.0,7.08,,,-0.05,-0.12,123.1,27.4,31.9,106.8,,,1584.0,RENPHO+Oura
2025-07-30,62.5,51.8,10.8,17.2,155.0,2050.0,1895.0,1487.0,408.0,11014.0,6.94,,,-0.11,-0.12,126.0,25.6,19.7,140.1,,,1895.0,RENPHO+Oura
2025-07-31,62.5,51.8,10.8,17.2,650.0,2464.0,1814.0,1487.0,327.0,8055.0,5.34,,,-0.18,-0.04,153.4,31.8,18.9,185.0,,,1814.0,RENPHO+Oura
2025-08-01,62.9,51.9,11.0,17.5,-67.0,2399.0,2466.0,1490.0,976.0,24097.0,5.92,,,-0.18,-0.06,123.6,13.7,11.6,185.6,,,2466.0,RENPHO+Oura
2025-08-02,62.0,51.6,10.4,16.8,-201.0,1807.0,2008.0,1484.0,524.0,9771.0,5.14,,,-0.25,-0.13,143.9,23.4,43.3,95.8,,,2008.0,RENPHO+Oura
2025-08-03,63.2,52.0,11.2,17.7,-119.0,2266.0,2385.0,1493.0,892.0,18078.0,0.0,,,-0.32,-0.16,201.2,31.0,28.4,123.1,,,2385.0,RENPHO+Oura
2025-08-04,62.8,51.9,10.9,17.4,2064.0,3783.0,1719.0,1490.0,229.0,7127.0,7.21,,,-0.16,-0.12,116.8,383.3,20.4,186.4,,,1719.0,RENPHO+Oura
2025-08-05,63.9,52.3,11.6,18.1,1734.0,3688.0,1954.0,1500.0,454.0,8606.0,6.81,,,0.07,-0.07,92.3,424.8,27.0,154.4,,,1954.0,RENPHO+Oura
2025-08-06,64.6,52.6,12.0,18.6,-1000.0,791.0,1791.0,1505.0,286.0,3251.0,5.51,,,0.39,0.05,47.2,7.1,15.7,43.8,,,1791.0,RENPHO+Oura
2025-08-07,62.9,51.9,11.0,17.5,346.0,2155.0,1809.0,1490.0,319.0,7838.0,6.27,,,-0.17,-0.05,126.7,34.4,27.3,154.7,,,1809.0,RENPHO+Oura
2025-08-08,63.3,52.1,11.2,17.7,159.0,2039.0,1880.0,1495.0,385.0,5979.0,6.25,,,-0.13,0.11,180.6,24.6,19.0,101.0,,,1880.0,RENPHO+Oura
2025-08-09,62.9,51.9,11.0,17.5,-196.5,2203.0,2878.0,1968.0,910.0,18889.0,,,,0.15,0.23,91.9,56.2,15.1,171.5,2878.0,1968.0,2399.5,Oura_API_v2
